,Topic,IPC,Quantity
0,0,A,177.0
1,1,A,105.0
2,2,A,93.0
3,3,A,67.0
4,4,A,81.0
5,5,A,52.0
6,6,A,66.0
7,7,A,31.0
8,8,A,20.0
9,9,A,18.0
10,10,A,52.0
11,0,B,0.0
12,1,B,31.0
13,2,B,20.0
14,3,B,0.0
15,4,B,1.0
16,5,B,0.0
17,6,B,0.0
18,7,B,0.0
19,8,B,3.0
20,9,B,0.0
21,10,B,0.0
22,0,C,74.0
23,1,C,107.0
24,2,C,35.0
25,3,C,154.0
26,4,C,65.0
27,5,C,54.0
28,6,C,11.0
29,7,C,40.0
30,8,C,51.0
31,9,C,51.0
32,10,C,16.0
33,0,D,0.0
34,1,D,0.0
35,2,D,1.0
36,3,D,0.0
37,4,D,0.0
38,5,D,0.0
39,6,D,0.0
40,7,D,0.0
41,8,D,1.0
42,9,D,0.0
43,10,D,0.0
44,0,E,0.0
45,1,E,0.0
46,2,E,0.0
47,3,E,0.0
48,4,E,0.0
49,5,E,0.0
50,6,E,0.0
51,7,E,0.0
52,8,E,0.0
53,9,E,0.0
54,10,E,0.0
55,0,F,0.0
56,1,F,0.0
57,2,F,1.0
58,3,F,0.0
59,4,F,0.0
60,5,F,0.0
61,6,F,0.0
62,7,F,0.0
63,8,F,0.0
64,9,F,0.0
65,10,F,0.0
66,0,G,18.0
67,1,G,0.0
68,2,G,74.0
69,3,G,2.0
70,4,G,22.0
71,5,G,1.0
72,6,G,8.0
73,7,G,4.0
74,8,G,0.0
75,9,G,4.0
76,10,G,4.0
77,0,H,0.0
78,1,H,0.0
79,2,H,11.0
80,3,H,0.0
81,4,H,0.0
82,5,H,0.0
83,6,H,0.0
84,7,H,0.0
85,8,H,0.0
86,9,H,0.0
87,10,H,0.0
